Alpha-3 code	Cancer code	Population code (ISO/UN)	Country	Label	Sex	Number	95% UI low	95% UI high	Number	ASR (World)	Crude rate	Cumulative risk
BLZ	23	84	84	Belize	2	34	9	131	34	17.3	16.4	1.7
BEL	23	56	56	Belgium	2	531	464	608	531	6.3	9.0	0.62
BLR	23	112	112	Belarus	2	668	539	827	668	9.3	13.3	0.91
BRB	23	52	52	Barbados	2	36	11	119	36	13.8	24.3	1.3
BGD	23	50	50	Bangladesh	2	9640	9561	9720	9640	11.3	11.6	1.2
BHR	23	48	48	Bahrain	2	18	1	250	18	2.7	2.9	0.29
BHS	23	44	44	Bahamas	2	42	14	130	42	15.2	20.4	1.7
AZE	23	31	31	Azerbaijan	2	547	373	802	547	8.2	10.6	0.87
AUT	23	40	40	Austria	2	409	348	480	409	5.9	8.9	0.58
AUS	23	36	36	Australia	2	898	784	1029	898	5.3	6.9	0.49
ARM	23	51	51	Armenia	2	156	74	330	156	6.8	9.9	0.72
ARG	23	32	32	Argentina	2	4696	4036	5464	4696	16.8	19.9	1.7
AGO	23	24	24	Angola	2	2823	2752	2896	2823	30.4	16.0	3.3
DZA	23	12	12	Algeria	2	1799	1638	1975	1799	8.0	8.0	0.94
ALB	23	8	8	Albania	2	171	142	205	171	8.7	12.2	0.88
AFG	23	4	4	Afghanistan	2	1218	666	2227	1218	10.3	6.1	1.1
				Total		662044			662044	14.1	16.9	1.5
